ID;Nome;Nome da Mae;Nome do Pai;Sexo;Data de Nascimento;Bairro;Onibus
0;FRANCIXCO MAGALHAES JUSTINO;ANA MAGALHAES SILVA;MARCOS A J;H;17051940;Pici;094, 501, 837, 578, 334, 075, 762
1;ANTONIO VILAR RIBEIRO;MARIA VILAR MACIEL;JOSE LUCIANO RIBEIRO;H;05911939;Jirambu;096
2;FRANCISCO;ANTONIA LACERDA PINHEIRO;ODILON SANTOS FILHO;H;05072010;Santa Rosa;824, 065, 834
3;JOAO COSMO LIMA;MARIA COSMO SANTOS;ANTONIO DANTAS LIMA;H;08031904;Gucuipe;152, 744, 192, 099, 845, 477, 120
4;MARIA ASSUNCAO SOUZA;LAURIZA ASSUNCAO SANTOS;FRANCISCO GOMES SOUZA;M;04111387;Sao Bento;060, 588, 177, 501, 277, 283
5;STEFANNY NASCIMENTO SILVA;DORACIR NASCIMENTO NASCIMENTO;WELLINGTON MOURA SILVA;M;30072613;Prfeito Xose Walter;328, 436, 990
6;MARCELO OLIVEIRA ARAUJO;JOSEFA OLIVEIRA LIMA;VIRGILIO MANOEL ARAUJO;H;03281914;Cisto Redntor;281, 858, 813, 702, 957, 708, 100, 351
7;FRANCISCA REGINA FERNANDES;MARIA REGINA OLIVEIRA;ANTONIO FERREIRA FERNANDES;M;04062003;Guararapes;602, 860, 828, 364, 235, 450, 461
8;MARIA VANUSIA SANTOS;ANDREIA VANUSIA ROZINEIDE;FRANCISCO SILVA SANTOS;M;10091974;Engenheiro Luciano Cavalante;447, 902, 967
9;MARIA ALMEIDA LIMA;MARIA ALMEIDA LUCIA;NILTON;M;07091489;Presdente Kennedy;636, 718, 809, 397, 870, 724, 020, 166, 761
10;LUIS ALVES CLAUDIO;FRANCISCA ALVES CLAUDIA;JOSE SILVA CLAUDIO;H;19061982;Paque Araxa;311
11;ANTONIO SOUSA FELIX;ALESSANDRA SOUSA LMCINA;JOSE OLIVEIRA FELIX;H;02021998;Panamericano;424
12;JOAO SILVA MARIA;FERNANDA SILVA RODRIGUES;ANTONIO GREGORIO MARIA;H;11111942;Padre Andrade;936, 534
13;MARIANA S F;MARIA SILVA ALMEIDA;LUIZ RODRIGUES FILHO;M;16411970;Sabiaguaba;994, 439, 232, 035, 186
14;FRANCISCA SOUSA SOUZA;RAIMUNDA SOUSA SOUZA;FRANCISCO MESQUITA SOUZA;M;23061973;Conjunto Rsperanca;339, 807, 134, 953, 221, 441, 835, 537
15;FRACCISCO;CLAUDIA CHAGAS SANTOS;MANUEL LUIZ OLIVEIRA;H;21071949;Parque Manibra;013, 074, 357, 234
16;BRAYAN GOMES SANTOS;MARIA G T;BENEDITO RIBEIRO SANTOS;H;20041956;Jardim Guanbara;470, 393, 642, 263, 659, 363, 149
17;ADRIANA BARBOSA EUGENIO;MARIA BARBOSA MELO;JOSE BRAGA EUGENIO;M;23022008;Fatia;794, 424, 314, 550
18;CRISTIANA OLIVEIRA ALVES;GISELDA OLIVEIRA RIBEIRO;FRANCISCO FRANCISCO ALVES;M;24111797;Cidade dos Funcinarios;883, 405, 277, 873, 764, 468, 203, 922, 357, 979
